cust_id,proba,campaign
46,1.0,2
388,1.0,2
554,1.0,1
829,1.0,2
886,1.0,2
1008,1.0,4
1101,1.0,7
1131,1.0,7
1541,1.0,7
1740,1.0,6
1905,1.0,1
2143,1.0,9
2378,1.0,4
2733,1.0,9
2827,1.0,3
3281,1.0,7
3390,1.0,6
3653,1.0,9
3990,1.0,6
4339,1.0,4
5068,1.0,4
5140,1.0,6
5453,1.0,9
5481,1.0,7
5778,1.0,4
6454,1.0,1
7665,1.0,1
7978,1.0,4
8121,1.0,7
8338,1.0,4
8348,1.0,4
8730,1.0,6
9114,1.0,10
12658,1.0,4
13008,1.0,4
13060,1.0,6
13094,1.0,1
7964,0.998045112781955,10
1919,0.9965979603532794,4
6989,0.9965979603532794,4
8489,0.9965979603532794,4
1771,0.9961538461538462,7
5732,0.9950227992182024,6
690,0.9947676418511995,7
1010,0.9947676418511995,7
1180,0.9947676418511995,7
1500,0.9947676418511995,7
1510,0.9947676418511995,7
1830,0.9947676418511995,7
2370,0.9947676418511995,7
3720,0.9947676418511995,7
4490,0.9947676418511995,7
6770,0.9947676418511995,7
8030,0.9947676418511995,7
8120,0.9947676418511995,7
1016,0.9939516739706831,3
2336,0.9939516739706831,3
8476,0.9939516739706831,3
12584,0.9928776201868307,9
6370,0.9921666666666666,6
1269,0.9894936251055445,3
3309,0.9894936251055445,3
4982,0.9879777281083889,7
5652,0.9879777281083889,7
6752,0.9879777281083889,7
193,0.9878328414010232,9
4038,0.9871515151515152,5
4231,0.9871405870699348,6
12811,0.9871405870699348,6
7803,0.9870032051282052,8
115,0.9866619885195737,6
3125,0.9866619885195737,6
7535,0.9866619885195737,6
2788,0.985764800669366,4
3378,0.985764800669366,4
4053,0.9838412698412696,8
124,0.9837060877328336,6
8944,0.9837060877328336,6
12704,0.9837060877328336,6
1129,0.9835074991413955,7
1169,0.9835074991413955,7
1989,0.9835074991413955,7
12667,0.9832857142857143,4
13106,0.9822831499325961,4
3482,0.9813529130312412,3
5432,0.9813529130312412,3
13082,0.9813529130312412,3
1537,0.9806115227759061,4
2587,0.9806115227759061,4
5117,0.9806115227759061,4
7608,0.9741467205510227,3
4983,0.972423711438402,7
5843,0.972423711438402,7
5863,0.972423711438402,7
3902,0.9706899842581662,9
5819,0.9686564555782203,3
8014,0.9659225247489934,7
4830,0.9655226223770121,3
7140,0.9655226223770121,3
9303,0.9642348484848484,8
5656,0.9637871936962077,7
1977,0.9637368263725473,4
4717,0.9637368263725473,4
6687,0.9637368263725473,4
7427,0.9637368263725473,4
2421,0.9633183580718264,3
3871,0.9633183580718264,3
6531,0.9633183580718264,3
8921,0.9633183580718264,3
7556,0.9609505664184457,5
9186,0.9609505664184457,5
4762,0.960328262285642,6
8972,0.960328262285642,6
6294,0.9595665588529765,3
6963,0.9594630261975794,4
775,0.9586077100961861,7
2295,0.9586077100961861,7
8525,0.9586077100961861,7
13085,0.9586077100961861,7
5645,0.9582322890969425,3
7575,0.9582322890969425,3
8235,0.9582322890969425,3
7029,0.9577860475008307,6
1633,0.9565823259592026,3
2923,0.9565823259592026,3
8273,0.9565823259592026,3
7592,0.9563297640948063,7
12978,0.9562835365659349,4
8261,0.9545922276956759,7
974,0.9541923076923078,9
5949,0.9533881375797003,4
278,0.9528863483867354,6
2222,0.9528773751823841,3
3322,0.9528773751823841,3
7882,0.9528773751823841,3
12982,0.9528773751823841,3
8640,0.952059523809524,4
3573,0.9490669265238096,7
8553,0.9487378665642848,6
5879,0.9457121212121212,4
6518,0.9444983164328774,7
1420,0.9442473544973546,7
3565,0.9437638887766119,1
4645,0.9437638887766119,1
1967,0.9432704450927392,3
1530,0.938008335454951,6
2430,0.938008335454951,6
7250,0.938008335454951,6
